n_hospitals,pairs_per_hospital,easy_frac,compat_prob,n_trials,avg_naive,avg_bp,avg_optimum,std_naive,std_bp,price_of_anarchy,pct_gain
6,7,0.1,0.25,3000,25.81,31.48,31.48,2.7,2.77,0.8197,18.0
6,7,0.2,0.25,3000,25.81,31.48,31.48,2.7,2.77,0.8197,18.0
6,7,0.3,0.25,3000,20.85,31.48,31.48,2.81,2.77,0.6622,33.8
6,7,0.4,0.25,3000,16.83,31.48,31.48,3.09,2.77,0.5344,46.6
6,7,0.5,0.25,3000,13.65,31.48,31.48,3.31,2.77,0.4337,56.6
6,7,0.6,0.25,3000,13.65,31.48,31.48,3.31,2.77,0.4337,56.6
6,7,0.7,0.25,3000,11.36,31.48,31.48,3.46,2.77,0.3609,63.9
